Name,Continent,Region,SurfaceArea,IndepYear,Population,LifeExpectancy,GNP,LocalName,Language
Aruba,North America,Caribbean,193.0,,103000,78.4,828.0,Aruba,Dutch
Aruba,North America,Caribbean,193.0,,103000,78.4,828.0,Aruba,English
Aruba,North America,Caribbean,193.0,,103000,78.4,828.0,Aruba,Papiamento
Aruba,North America,Caribbean,193.0,,103000,78.4,828.0,Aruba,Spanish
Afghanistan,Asia,Southern and Central Asia,652090.0,1919.0,22720000,45.9,5976.0,Afganistan/Afqanestan,Balochi
Afghanistan,Asia,Southern and Central Asia,652090.0,1919.0,22720000,45.9,5976.0,Afganistan/Afqanestan,Dari
Afghanistan,Asia,Southern and Central Asia,652090.0,1919.0,22720000,45.9,5976.0,Afganistan/Afqanestan,Pashto
Afghanistan,Asia,Southern and Central Asia,652090.0,1919.0,22720000,45.9,5976.0,Afganistan/Afqanestan,Turkmenian
Afghanistan,Asia,Southern and Central Asia,652090.0,1919.0,22720000,45.9,5976.0,Afganistan/Afqanestan,Uzbek
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Ambo
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Chokwe
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Kongo
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Luchazi
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Luimbe-nganguela
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Luvale
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Mbundu
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Nyaneka-nkhumbi
Angola,Africa,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,Angola,Ovimbundu
Anguilla,North America,Caribbean,96.0,,8000,76.1,63.2,Anguilla,English
Albania,Europe,Southern Europe,28748.0,1912.0,3401200,71.6,3205.0,Shqipëria,Albaniana
Albania,Europe,Southern Europe,28748.0,1912.0,3401200,71.6,3205.0,Shqipëria,Greek
Albania,Europe,Southern Europe,28748.0,1912.0,3401200,71.6,3205.0,Shqipëria,Macedonian
Andorra,Europe,Southern Europe,468.0,1278.0,78000,83.5,1630.0,Andorra,Catalan
Andorra,Europe,Southern Europe,468.0,1278.0,78000,83.5,1630.0,Andorra,French
Andorra,Europe,Southern Europe,468.0,1278.0,78000,83.5,1630.0,Andorra,Portuguese
Andorra,Europe,Southern Europe,468.0,1278.0,78000,83.5,1630.0,Andorra,Spanish
Netherlands Antilles,North America,Caribbean,800.0,,217000,74.7,1941.0,Nederlandse Antillen,Dutch
Netherlands Antilles,North America,Caribbean,800.0,,217000,74.7,1941.0,Nederlandse Antillen,English
Netherlands Antilles,North America,Caribbean,800.0,,217000,74.7,1941.0,Nederlandse Antillen,Papiamento
United Arab Emirates,Asia,Middle East,83600.0,1971.0,2441000,74.1,37966.0,Al-Imarat al-´Arabiya al-Muttahida,Arabic
United Arab Emirates,Asia,Middle East,83600.0,1971.0,2441000,74.1,37966.0,Al-Imarat al-´Arabiya al-Muttahida,Hindi
Argentina,South America,South America,2780400.0,1816.0,37032000,75.1,340238.0,Argentina,Indian Languages
Argentina,South America,South America,2780400.0,1816.0,37032000,75.1,340238.0,Argentina,Italian
Argentina,South America,South America,2780400.0,1816.0,37032000,75.1,340238.0,Argentina,Spanish
Armenia,Asia,Middle East,29800.0,1991.0,3520000,66.4,1813.0,Hajastan,Armenian
Armenia,Asia,Middle East,29800.0,1991.0,3520000,66.4,1813.0,Hajastan,Azerbaijani
American Samoa,Oceania,Polynesia,199.0,,68000,75.1,334.0,Amerika Samoa,English
American Samoa,Oceania,Polynesia,199.0,,68000,75.1,334.0,Amerika Samoa,Samoan
American Samoa,Oceania,Polynesia,199.0,,68000,75.1,334.0,Amerika Samoa,Tongan
Antigua and Barbuda,North America,Caribbean,442.0,1981.0,68000,70.5,612.0,Antigua and Barbuda,Creole English
Antigua and Barbuda,North America,Caribbean,442.0,1981.0,68000,70.5,612.0,Antigua and Barbuda,English
Australia,Oceania,Australia and New Zealand,7741220.0,1901.0,18886000,79.8,351182.0,Australia,Arabic
Australia,Oceania,Australia and New Zealand,7741220.0,1901.0,18886000,79.8,351182.0,Australia,Canton Chinese
